"번호","개방서비스명","개방서비스id","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프장","10_31_02_P","4050000","CDFH2302012013000001","20130906","20131118","04","취소/말소/만료/정지/중지","31","등록취소","","","","","031-330-8203","","449831","경기도 용인시 처인구 이동읍 덕성리 산 83-1번지","경기도 용인시 처인구 이동읍 이원로384번길 71","","처인CC","20131127150424","I","2018-08-31 23:59:59.0","","220000.35396100000","408234.76154800000","골프장","사립","Y","1","","7493.53","","","",
"2","골프장","10_31_02_P","4050000","CDFH2302012012000003","20121026","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 이동읍 서리 1222 해솔리아컨트리클럽","경기도 용인시 처인구 이동읍 백자로 369, 해솔리아컨트리클럽","17126","해솔리아컨트리클럽","20200915182941","U","2020-09-17 02:40:00.0","","216207.279893906","411811.82331579","골프장","사립","Y","1","7","14873.89","","","",
"3","골프장","10_31_02_P","4050000","CDFH2302012012000001","20120903","","01","영업/정상","13","영업중","","","","","031-329-0754","","449863","경기도 용인시 처인구 백암면 고안리 산 21-1번지","","","써닝포인트 컨트리클럽","20190121133849","U","2019-01-23 02:40:00.0","","237587.768137288","405137.497828468","골프장","사립","Y","1","3","12340.42","","","",
"4","골프장","10_31_02_P","4050000","CDFH2302012002000001","20020329","","01","영업/정상","13","영업중","","","","","","","449864","경기도 용인시 처인구 백암면 석천리 747-1번지","경기도 용인시 처인구 백암면 황새울로 255","","용인씨씨","20180102135143","I","2018-08-31 23:59:59.0","","230391.880235629","401227.000916571","골프장","사립","0","","","4825.39","","","",
"5","골프장","10_31_02_P","4050000","CDFH2302011999000002","19990719","","01","영업/정상","13","영업중","","","","","031-320-8344","","","경기도 용인시 처인구 포곡읍 전대리 310 삼성에버랜드","경기도 용인시 처인구 포곡읍 에버랜드로 199, 삼성에버랜드","17023","글렌로스골프클럽","20210430174524","U","2021-05-02 02:40:00.0","","219138.424611781","420903.964757574","골프장","사립","0","","","1901.57","","","",
"6","골프장","10_31_02_P","4050000","CDFH2302011999000001","19990210","","01","영업/정상","13","영업중","","","","","330-1532","","449871","경기도 용인시 처인구 원삼면 맹리 산 25번지","","","지산대중","20030425163515","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"7","골프장","10_31_02_P","4050000","CDFH2302011998000001","19980603","","01","영업/정상","13","영업중","","","","","","","449885","경기도 용인시 처인구 남사면 창리 454-3번지","경기도 용인시 처인구 남사면 경기동로 628","","레이크힐스용인컨트리클럽","20200206140239","U","2020-02-08 02:40:00.0","","216644.639814228","403119.762771432","골프장","사립","0","","","","868","","",
"8","골프장","10_31_02_P","4050000","CDFH2302011997000002","19970906","","01","영업/정상","13","영업중","","","","","334-2111","","449852","경기도 용인시 처인구 모현읍 능원리 산 5-12번지","경기도 용인시 처인구 모현읍 능원로 181","","레이크사이드회원","20190208103057","U","2019-02-10 02:40:00.0","","215629.609472079","425051.25336069","골프장","사립","0","","","","441","","",
"9","골프장","10_31_02_P","4050000","CDFH2302011997000001","19970122","","01","영업/정상","13","영업중","","","","","","","446908","경기도 용인시 기흥구 영덕동 258-2번지","경기도 용인시 기흥구 흥덕4로 77  (영덕동)","","태광컨트리클럽(대중제)","20200507131005","U","2020-05-09 02:40:00.0","","207447.393102164","420337.547036423","골프장","사립","0","","","968.52","","","",
"10","골프장","10_31_02_P","4050000","CDFH2302011993000003","19930823","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 원삼면 목신리 356-10번지","경기도 용인시 처인구 원삼면 보개원삼로1534번길 40","17170","블루원용인CC","20190131101430","U","2019-02-02 02:40:00.0","","227883.9727022","403138.155841543","골프장","사립","0","","","9917.66","1520","","",
