성별,연령,학교 운동장,"공원(근린공원, 체육공원 등)","약수터, 등산로",사설 체력단련장(헬스클럽 등),"공터, 아파트단지",상기의 체육시설에 속하지 않은 시설,종합스포츠센터,고수부지,사설 종합스포츠시설,사설 골프장 및 골프연습장,사설 수영장,기타 공공체육시설,운동장,학교 체육관,실내체육관,기타 사설 체육시설(사설 운동 교습소 포함),사설 체육도장,수영장,기타 사회복지시설 내의 체육시설,축구장,테니스장,게이트볼장,노인복지시설,경로당,직장체육시설,골프연습장,기타 민간 비영리단체의 체육시설,야구장,기타 학교체육시설,학교 수영장,청소년수련관,유적지 공원,청소년수련원,사설 승마장,인라인ㆍ롤러스케이트장,YMCA의 운동시설,교회 등 종교시설의 체육시설,기타 청소년 수련시설 내의 체육시설,사설 빙상장,수상레저,사례수
남,10대,50.7,6.7,0.5,5.0,2.7,1.5,1.3,1.6,1.7,0.0,1.2,1.9,3.2,5.2,1.9,0.5,7.2,0.3,0.0,2.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.4,0.0,0.5,0.5,0.5,0.2,0.0,0.0,357
남,20대,25.3,5.4,2.2,27.7,4.5,4.5,4.3,4.2,2.4,0.3,2.1,0.4,3.7,1.2,0.7,2.5,2.3,1.3,0.2,2.9,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,349
남,30대,15.9,5.9,10.5,22.0,4.9,6.5,3.4,3.9,2.4,4.4,1.1,1.2,3.6,2.2,1.2,1.6,1.1,1.0,0.0,1.9,0.9,0.0,0.0,0.2,1.0,0.7,0.5,1.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.2,425
남,40대,20.5,8.6,15.8,9.2,4.6,8.0,3.0,3.1,0.9,7.5,0.6,0.9,2.0,1.9,4.9,1.5,0.4,0.5,0.5,1.5,1.0,0.0,0.0,0.4,0.4,0.4,0.0,0.4,0.3,0.1,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,506
남,50대,12.1,12.6,24.9,7.6,3.8,12.0,1.5,2.9,2.7,3.9,0.9,2.5,0.7,1.6,1.5,1.3,0.3,1.6,1.0,0.3,0.2,0.8,0.3,0.2,0.3,0.8,0.5,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,449
남,60대,11.1,22.1,22.4,4.1,7.1,12.7,1.6,5.6,0.7,0.2,0.0,3.1,1.2,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.8,2.3,0.9,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,203
남,70대이상,13.6,20.6,15.8,2.5,12.1,9.0,0.8,4.5,0.2,0.8,0.0,1.3,0.5,0.0,1.2,0.5,0.0,0.0,0.2,0.5,0.4,6.4,4.4,4.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127
여,10대,25.8,15.9,2.4,4.9,14.4,2.1,5.2,2.2,2.8,0.0,3.8,1.0,2.6,4.9,0.7,1.1,3.7,2.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,179
여,20대,10.1,12.8,6.1,26.7,5.7,2.7,5.5,0.8,10.6,0.4,3.6,2.6,0.5,1.0,1.6,4.2,0.5,0.8,0.4,0.3,0.8,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
여,30대,14.6,12.8,9.3,15.2,8.3,2.5,5.9,3.0,8.8,0.5,4.3,2.6,1.2,0.7,1.0,3.0,1.1,0.9,1.4,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,301
여,40대,13.1,13.7,13.8,8.9,7.0,7.1,6.7,3.4,3.5,2.7,1.7,2.4,0.9,2.4,2.3,2.5,0.0,1.7,1.8,0.0,0.6,0.0,0.0,0.6,0.5,0.4,1.2,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,468
여,50대,13.9,15.2,14.7,5.2,8.3,8.7,6.8,3.1,4.4,1.1,3.9,2.6,1.1,0.8,1.4,0.9,0.0,1.8,2.5,0.0,0.7,0.0,0.6,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,399
여,60대,12.7,23.0,15.0,1.2,10.5,8.4,4.9,4.2,1.6,0.8,5.6,2.7,1.4,0.0,0.6,0.3,0.0,1.5,1.2,0.0,0.3,0.9,1.2,0.9,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
여,70대이상,17.2,19.8,10.0,0.0,20.3,5.6,2.7,3.2,0.6,0.0,0.2,1.6,1.9,0.7,0.7,0.0,0.4,0.0,2.0,0.3,0.0,3.5,5.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
