지역,학교 운동장,"공원(근린공원, 체육공원 등)","약수터, 등산로",사설 체력단련장(헬스클럽 등),"공터, 아파트단지",상기의 체육시설에 속하지 않은 시설,종합스포츠센터,고수부지,사설 종합스포츠시설,사설 골프장 및 골프연습장,사설 수영장,기타 공공체육시설,운동장,학교 체육관,실내체육관,기타 사설 체육시설(사설 운동 교습소 포함),사설 체육도장,수영장,기타 사회복지시설 내의 체육시설,축구장,테니스장,게이트볼장,노인복지시설,경로당,직장체육시설,골프연습장,기타 민간 비영리단체의 체육시설,야구장,기타 학교체육시설,학교 수영장,청소년수련관,유적지 공원,청소년수련원,사설 승마장,인라인ㆍ롤러스케이트장,YMCA의 운동시설,교회 등 종교시설의 체육시설,기타 청소년 수련시설 내의 체육시설,사설 빙상장,수상레저,사례수
서울,11.3,13.7,12.1,14.1,4.9,5.4,8.3,5.8,4.7,3.2,3.6,1.0,1.2,0.2,0.5,1.6,0.7,1.5,0.2,1.0,0.5,0.0,0.2,0.4,0.0,0.4,0.6,0.6,0.2,0.4,0.6,0.6,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,934
부산,17.4,7.8,29.1,13.8,4.9,4.0,4.3,0.6,4.0,1.7,1.7,1.6,1.9,1.2,0.4,1.5,0.7,0.3,1.2,0.4,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253
대구,20.9,22.4,6.4,10.8,3.7,4.7,0.4,7.3,1.8,1.3,2.5,1.6,1.9,3.4,0.9,2.8,1.2,0.9,1.9,0.4,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
인천,15.3,21.6,10.2,9.6,6.8,7.5,5.6,0.8,4.4,1.1,2.6,1.5,1.2,0.3,1.5,1.0,1.7,1.5,1.0,2.1,1.1,0.2,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,259
광주,34.9,12.0,15.7,8.8,4.8,5.3,1.3,0.0,4.3,1.4,1.3,0.5,0.0,4.1,0.0,1.7,0.5,0.4,1.2,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
대전,18.7,10.0,6.7,14.7,12.4,8.4,2.3,1.3,4.3,1.5,1.1,2.1,1.1,0.5,1.6,2.7,2.6,1.7,1.3,1.1,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.5,0.5,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,128
울산,12.2,18.7,13.8,16.5,1.5,2.3,0.5,13.1,0.5,2.8,4.4,1.7,5.1,0.5,1.1,1.0,0.5,0.0,0.0,1.1,0.0,0.5,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
경기,13.2,11.3,12.7,14.0,10.5,6.5,3.7,2.9,3.9,3.3,2.1,1.3,2.3,0.9,2.6,0.8,1.5,1.5,0.4,0.5,0.5,0.4,0.5,0.0,0.4,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.2,0.0,0.2,0.0,"1,002"
강원,15.3,5.8,6.4,4.1,4.2,9.6,3.6,2.8,2.3,2.4,0.5,4.1,3.0,7.9,4.8,3.8,3.0,2.8,0.0,2.3,2.4,1.5,1.3,1.3,0.4,0.0,2.0,0.5,0.0,0.5,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,144
충북,29.4,10.1,9.1,6.9,11.0,7.4,1.9,0.0,0.7,0.0,0.7,2.4,1.3,0.7,3.0,1.8,1.0,1.3,0.5,2.5,0.7,2.7,3.0,0.0,0.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
충남,29.0,18.0,6.5,4.7,7.0,6.5,2.6,0.8,1.8,0.5,0.4,2.8,0.3,1.3,3.6,1.4,0.8,0.0,5.1,0.4,0.5,2.3,0.0,0.7,1.4,0.8,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
전북,47.3,1.8,12.0,9.7,2.4,6.4,0.0,0.3,1.1,0.8,0.8,1.9,1.2,6.1,0.8,0.0,1.2,0.0,1.6,0.0,0.3,1.3,0.0,1.8,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
전남,36.6,2.7,15.5,2.7,15.5,7.3,0.3,0.0,0.4,2.6,0.0,2.7,1.0,2.8,0.8,1.0,1.4,0.0,1.1,0.0,0.4,1.8,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
경북,22.1,11.8,5.3,3.7,6.3,3.6,5.0,6.4,1.3,1.2,0.0,5.7,3.8,3.7,2.7,3.7,0.4,0.8,2.0,1.5,1.2,1.0,0.7,2.7,1.1,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0.7,0.0,0.0,0.0,0.8,0.0,0.0,0.0,232
경남,15.9,17.9,14.2,6.4,5.9,12.7,0.8,0.0,0.9,1.3,1.3,2.8,2.2,3.5,3.6,1.8,2.5,0.9,0.9,1.2,0.0,1.1,0.3,0.7,0.5,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
제주,23.4,3.7,0.0,6.2,1.3,37.3,2.1,0.0,1.1,0.8,0.7,4.1,4.1,0.7,1.5,1.4,1.2,0.0,0.4,4.0,1.5,0.0,2.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,60
